"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,2,4,1,1,1,3,2,3,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,3,2,2,1,1,1,2,2,1,2,2,3,1,2,2,2,1,2,2,2
"2",2,0,2,2,2,2,1,1,1,3,3,3,2,3,1,2,2,3,2,3,3,2,1,2,3,2,3,2,2,2,1,1,3,2,1,3,2,2,3,3,3,2,3,2,3
"3",3,1,0,3,3,3,2,2,1,3,3,3,3,3,2,2,2,3,3,3,3,3,1,2,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3
"4",1,1,3,0,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,1
"5",2,2,4,2,0,1,3,2,3,2,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
"6",2,1,3,3,3,0,2,2,2,3,1,2,1,3,2,2,2,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,2,3,2,2,3,2,1
"7",3,1,3,3,3,3,0,2,2,4,4,4,3,4,1,3,3,4,3,4,4,3,2,3,4,3,4,3,3,3,2,2,4,3,2,4,3,3,4,4,4,3,4,3,4
"8",3,1,3,3,3,3,2,0,2,3,3,3,3,3,2,2,2,3,3,3,3,3,1,2,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3
"9",3,1,1,3,3,3,2,2,0,3,3,3,3,3,2,2,2,3,3,3,3,3,1,2,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3
"10",3,3,5,3,3,3,4,4,4,0,3,3,3,1,4,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,1
"11",1,2,4,2,2,1,3,3,3,2,0,1,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1
"12",1,1,3,1,1,1,2,2,2,1,1,0,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"13",1,2,4,2,2,1,3,2,3,2,1,1,0,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1
"14",2,2,4,2,2,2,3,3,3,1,2,2,2,0,3,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2
"15",3,2,4,3,3,3,3,2,3,3,3,3,3,3,0,2,2,3,3,3,3,3,1,2,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3
"16",2,3,5,3,3,2,4,3,4,3,2,2,2,3,3,0,2,3,3,2,1,3,2,3,3,3,3,3,3,1,2,3,3,2,2,3,3,3,2,3,2,2,3,2,2
"17",1,2,4,1,1,1,3,2,3,2,2,2,1,2,2,2,0,2,1,2,2,1,1,1,2,3,2,2,1,1,1,2,2,1,2,2,3,1,2,2,2,1,2,2,2
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2,2,4,2,2,2,3,2,3,3,3,3,2,3,2,2,1,3,0,3,3,2,1,2,3,3,3,2,2,2,2,3,3,2,2,3,3,2,3,3,3,2,3,3,3
"20",1,1,3,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,0,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,1
"21",2,2,4,2,2,2,3,2,3,3,2,2,2,3,2,2,1,3,2,1,0,2,1,2,3,3,3,2,2,1,2,3,3,2,2,3,3,2,2,3,2,2,3,2,2
"22",3,2,4,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,0,1,2,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3
"23",2,1,3,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,0,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2
"24",2,2,4,2,1,2,3,2,3,3,3,2,2,3,2,2,2,3,2,2,3,2,1,0,3,3,2,2,2,2,1,3,3,2,2,3,3,1,3,3,3,2,1,3,3
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"26",3,1,3,3,3,3,2,2,2,4,3,3,3,4,2,3,3,4,3,3,3,3,2,3,3,0,4,3,3,3,2,2,4,2,1,3,2,3,3,3,3,3,4,2,3
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",3,2,4,3,3,3,3,2,3,3,3,3,3,3,1,2,2,3,3,3,3,3,1,2,3,3,3,0,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3
"29",1,1,3,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"30",1,2,4,2,2,1,3,2,3,2,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,0,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1
