"Od","Do","Frekvenca"
"1","4",2
"1","11",1
"1","12",16
"1","13",1
"1","17",14
"1","20",2
"1","29",16
"1","30",1
"1","31",14
"1","33",2
"1","34",2
"1","41",16
"1","42",1
"2","3",2
"2","4",1
"2","6",2
"2","7",12
"2","8",8
"2","9",2
"2","12",23
"2","20",1
"2","23",13
"2","26",3
"2","29",23
"2","34",1
"2","35",2
"2","41",23
"2","44",2
"3","9",2
"4","1",3
"4","12",5
"4","17",3
"4","20",37
"4","29",5
"4","31",3
"4","34",37
"4","41",5
"5","1",3
"5","4",2
"5","12",3
"5","17",3
"5","20",2
"5","24",2
"5","29",3
"5","31",3
"5","34",2
"5","38",2
"5","41",3
"6","1",1
"6","4",2
"6","5",2
"6","11",8
"6","12",13
"6","13",3
"6","17",1
"6","20",2
"6","29",13
"6","30",3
"6","31",1
"6","33",2
"6","34",2
"6","41",13
"6","42",3
"7","2",1
"8","2",2
"8","23",4
"8","35",1
"9","2",1
"9","3",8
"10","12",6
"10","14",2
"10","29",6
"10","33",2
"10","41",6
"11","4",6
"11","6",4
"11","12",11
"11","13",2
"11","20",6
"11","29",11
"11","30",2
"11","33",1
"11","34",6
"11","41",11
"11","42",2
"12","4",9
"12","5",1
"12","11",1
"12","13",1
"12","20",9
"12","29",77
"12","30",1
"12","33",2
"12","34",9
"12","41",77
"12","42",1
"13","1",4
"13","4",23
"13","6",2
"13","11",13
"13","12",21
"13","17",4
"13","20",23
"13","29",21
"13","30",6
"13","31",4
"13","33",2
"13","34",23
"13","41",21
"13","42",6
"14","10",1
"14","12",4
"14","29",4
"14","41",4
"15","2",1
"15","5",1
"15","7",1
"15","23",1
"15","28",1
"16","4",3
"16","12",15
"16","13",3
"16","20",3
"16","23",1
"16","29",15
"16","30",3
"16","33",1
"16","34",3
"16","41",15
"16","42",3
"17","1",13
"17","4",2
"17","5",3
"17","12",8
"17","13",2
"17","19",1
"17","20",2
"17","21",1
"17","23",3
"17","29",8
"17","30",2
"17","31",13
"17","33",1
"17","34",2
"17","41",8
"17","42",2
"18","12",6
"18","29",6
"18","41",6
"19","1",1
"19","17",1
"19","31",1
"20","4",21
"20","5",3
"20","12",9
"20","21",2
"20","29",9
"20","34",21
"20","41",9
"21","4",8
"21","12",10
"21","13",2
"21","16",2
"21","20",8
"21","29",10
"21","30",2
"21","34",8
"21","41",10
"21","42",2
"22","1",2
"22","12",3
"22","17",2
"22","29",3
"22","31",2
"22","33",1
"22","41",3
"23","1",2
"23","2",8
"23","3",1
"23","4",2
"23","5",28
"23","8",1
"23","9",1
"23","12",46
"23","13",2
"23","15",5
"23","17",2
"23","19",1
"23","20",2
"23","21",4
"23","22",2
"23","24",1
"23","28",5
"23","29",46
"23","30",2
"23","31",2
"23","33",1
"23","34",2
"23","35",34
"23","36",2
"23","38",1
"23","41",46
"23","42",2
"24","1",1
"24","4",1
"24","5",1
"24","12",2
"24","17",1
"24","20",1
"24","23",1
"24","29",2
"24","31",1
"24","34",1
"24","38",3
"24","41",2
"25","12",5
"25","29",5
"25","33",1
"25","41",5
"25","44",2
"26","35",2
"27","5",1
"27","12",1
"27","29",1
"27","33",1
"27","41",1
"28","23",1
"29","1",1
"29","4",6
"29","5",2
"29","12",77
"29","17",1
"29","20",6
"29","23",2
"29","31",1
"29","34",6
"29","41",77
"30","1",3
"30","4",10
"30","5",1
"30","12",10
"30","13",1
"30","16",1
"30","17",3
"30","20",10
"30","21",4
"30","29",10
"30","31",3
"30","34",10
"30","41",10
"30","42",1
"31","1",17
"31","2",1
"31","4",2
"31","5",2
"31","12",24
"31","13",4
"31","17",17
"31","20",2
"31","24",1
"31","29",24
"31","30",4
"31","33",2
"31","34",2
"31","38",1
"31","39",1
"31","41",24
"31","42",4
"31","44",1
"32","2",1
"32","12",2
"32","29",2
"32","35",6
"32","37",3
"32","41",2
"33","12",4
"33","29",4
"33","41",4
"34","1",1
"34","4",4
"34","12",4
"34","13",1
"34","17",1
"34","20",4
"34","29",4
"34","30",1
"34","31",1
"34","33",1
"34","35",1
"34","41",4
"34","42",1
"35","2",2
"35","4",1
"35","5",2
"35","12",15
"35","13",1
"35","20",1
"35","23",10
"35","26",7
"35","29",15
"35","30",1
"35","34",1
"35","37",16
"35","39",1
"35","40",1
"35","41",15
"35","42",1
"35","44",6
"36","12",3
"36","29",3
"36","41",3
"36","44",5
"37","35",3
"38","1",6
"38","4",6
"38","5",2
"38","12",7
"38","17",6
"38","20",6
"38","24",2
"38","29",7
"38","31",6
"38","33",1
"38","34",6
"38","41",7
"39","4",4
"39","12",9
"39","13",1
"39","20",4
"39","29",9
"39","30",1
"39","33",1
"39","34",4
"39","41",9
"39","42",1
"39","44",2
"40","12",1
"40","29",1
"40","41",1
"40","44",1
"41","4",8
"41","12",85
"41","13",1
"41","14",1
"41","20",8
"41","29",85
"41","30",1
"41","33",1
"41","34",8
"41","39",1
"41","42",1
"41","44",1
"42","1",3
"42","4",29
"42","12",37
"42","13",3
"42","17",3
"42","20",29
"42","23",1
"42","29",37
"42","30",3
"42","31",3
"42","33",3
"42","34",29
"42","39",2
"42","41",37
"42","44",3
"43","12",3
"43","24",1
"43","29",3
"43","38",1
"43","41",3
"44","4",2
"44","12",12
"44","13",2
"44","20",2
"44","29",12
"44","30",2
