Odrednica,Knjiga,Sloj,Ime
1,0,0,Ateh
2,0,1,Brankovicx_Avram
3,0,1,Brankovicx_Grgur
4,0,0,Kagan
5,0,0,Lovci_snova
6,0,0,Metodije_Solunski
7,0,1,Sevast_Nikon
8,0,1,Skila_Averkije
9,0,1,Stolpnik
10,0,2,Suk_dr_Isajlo
11,0,0,Cxirilo
12,0,0,Hazari
13,0,0,Hazarska_polemika
14,0,0,Cyelarevo
15,1,1,Aksxani_Jabir_Ibn
16,1,0,Al_Bekri_Spanjard
17,1,0,Ateh
18,1,0,Zidar_muzike
19,1,0,Ibn_Abu_Hadrasx
20,1,0,Kagan
21,1,0,Kora_Farabi_Ibn
22,1,0,Ku
23,1,1,Masudi_Jusuf
24,1,0,Mokadasa_al_Safer
25,1,2,Muavija_dr_Abu-Kabir
26,1,1,Mustaj-beg_Sablxak
27,1,1,Odlomak_iz_Basre
28,1,1,Prstomet
29,1,0,Hazari
30,1,0,Hazarska_polemika
31,2,0,Ateh
32,2,1,Veridbeni_ugovor
33,2,1,Daubmanus
34,2,0,Kagan
35,2,1,Koen_Samuel
36,2,1,Liber_Cosri
37,2,1,Lukarevicx_Efrosinija
38,2,0,Mokadasa_al_Safer
39,2,0,Sangari_Isak
40,2,0,Tibon_Jehuda_Ibn
41,2,0,Hazari
42,2,0,Hazarska_polemika
43,2,0,Hazarski_cxup
44,2,0,Halevi_Jehuda
45,2,2,Sxulc_dr_Dorota
